name,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,17104,23562,20953,17515,15909,9868,8691,17326,15308,17237,19180,14523,12773,12042,12525,11277,13905,16105,19136,20114,19868,17732,20533,19029,17406,17706,18403,22256,27411,30612,32034,25845,17464,13266,11261,11667,13506,11763,13507,14054,14623
Alaska,5194,6912,4651,2661,2230,4514,8242,11248,6486,4029,1353,731,802,637,732,1047,1104,1657,2056,2164,2640,2560,2874,2211,2147,2939,3003,3531,3133,2885,2739,1706,901,916,904,877,994,1079,1387,1298,1215
Arizona,23963,41913,62145,53752,36688,33395,36545,63964,79239,71820,61614,40181,32878,23820,23030,23521,31793,38656,51832,52714,53715,57762,63930,65109,61485,62496,66031,74996,90644,90851,65363,49642,26082,14474,12370,13007,21726,25209,26997,28910,30959
Arkansas,8818,11294,9877,8464,8162,4590,6325,9989,9727,9935,8719,6476,6232,6339,5915,6881,7934,9962,12374,11707,11144,11026,10021,11502,9203,10407,12436,14839,15855,17932,13885,11031,8810,7056,7177,6800,8231,7481,7966,8500,9070
California,219682,270909,245302,211480,144375,104205,85031,171889,224689,271396,314641,251824,253369,237694,163175,105956,97781,84341,96982,83864,92060,109589,124035,138039,145575,146739,159573,191948,207390,205020,160502,110073,62681,35069,43716,45471,58549,80742,83657,98188,115243
Colorado,24901,37281,46285,42833,30129,29391,31788,51290,44329,32824,30961,17988,12864,11131,11897,14071,23484,29913,37229,38622,41135,43053,51156,49313,54596,55007,47871,39569,46499,45891,38343,29454,18998,9355,11591,13502,23301,27517,28698,31871,35395
Connecticut,13870,15653,15851,14830,10088,9321,10276,15672,17778,24545,27730,26750,18865,11969,7584,7477,8011,9247,9460,8550,8537,9311,11863,10637,9376,9290,9731,10435,11837,11885,9236,7746,5220,3786,3932,3173,4669,5424,5329,6077,6930
Delaware,2647,3414,3033,2985,2895,2302,2968,3627,4364,4636,5527,7058,7423,5763,5142,4300,4632,4877,4966,4608,4370,4732,5287,5285,4611,4814,6331,7760,7858,8195,6504,5291,3346,3156,3072,2954,4091,4827,5194,5221,5248
District of Columbia,1987,2118,2240,1652,2661,981,432,164,393,590,640,1198,852,410,368,333,132,305,210,35,0,15,429,683,806,896,1591,1427,1936,2860,2105,1910,536,1126,739,4612,3823,3255,4189,4956,5863
Florida,66242,108052,163862,175705,174247,146163,103813,188986,204884,202615,195525,178764,170597,164985,126347,95308,102022,115103,128602,122903,125020,133990,148603,164722,155269,167035,185431,213567,255893,287250,203238,102551,61042,35329,38679,42360,64810,86752,84084,109924,143705
Georgia,24274,33435,37529,40591,34837,29996,38737,65910,70264,73141,76896,64217,63017,50457,41251,37580,44566,53874,64860,72225,74874,75123,85401,89581,91820,93059,97523,96704,108356,109336,104200,73165,35368,18228,17265,18493,24350,36174,39673,45549,52295
Hawaii,6878,7916,9475,11035,10323,6262,5675,4760,5401,7262,7217,6909,8445,9555,8718,9238,7809,6624,7328,6614,3927,3676,3324,4211,4905,4790,5902,7284,9034,9828,7530,6972,4115,2617,3442,2743,2993,3882,3066,5422,9588
Idaho,9540,12722,10468,8974,5795,3382,2536,4225,4308,4307,3804,3185,3211,4776,5703,6603,9597,11567,12640,10666,10755,10337,11667,12181,10915,11820,13488,15091,18108,21578,17075,12105,6470,4863,4153,3815,6265,8110,8805,9954,11253
Illinois,59503,75374,72163,45782,25226,16356,18960,29836,30160,38719,51876,50447,49145,42377,38255,32846,40430,44742,49290,47467,49592,46323,47984,53974,51944,54839,60971,62211,59753,66942,58802,43020,22528,10859,12318,11809,13797,15545,20602,19571,18592
Indiana,30677,38178,35051,26838,20919,13900,12482,16027,18904,23016,29686,27273,25248,26473,25002,23936,28739,30803,34432,35715,37219,35241,40709,41469,37903,39117,39596,39421,39233,38476,29069,23841,16631,12555,13083,12618,13781,17950,17813,18483,19178
Iowa,19348,20591,17161,13325,8740,5592,5271,6999,7000,5190,5472,5778,6785,7392,7637,8025,10520,10567,12470,11341,12027,10706,13144,13441,12500,13085,14789,16082,16345,16766,13357,11171,8412,7729,7607,7526,9501,10877,10353,12097,14135
Kansas,15717,17524,15856,13292,10886,8153,8572,14168,16727,13267,13086,11782,9684,8627,8454,7780,9804,11035,12976,12655,14676,13590,15321,15682,12542,14530,12983,15049,13301,14048,14619,11473,8188,6677,5140,5386,6252,8285,7467,8644,10007
Kentucky,13382,17920,16112,13116,10188,7609,7514,11675,13043,13770,13503,13223,13363,12656,11810,11961,14689,15907,18554,17625,18778,18114,20640,21581,18460,17685,19459,20404,22623,21159,16628,14938,10494,7398,7986,7782,9725,8955,9421,10566,11850
Louisiana,17120,25673,27087,23637,20509,19627,20316,33847,28073,18766,10501,8520,7270,6116,6451,7182,9750,11226,14782,14723,17998,15144,16483,17836,14720,15653,18425,22220,22989,22811,28671,23379,16305,12513,11343,12173,13018,14015,15337,13830,12471
Maine,4206,4753,5614,4310,3406,2521,3146,4162,6570,8113,9554,9800,8801,6382,4757,3710,4327,3844,4578,4417,4685,4706,6280,5688,6177,6492,7207,7933,8771,8969,7293,5873,3615,3121,3034,2744,3001,3427,3249,3699,4211
Maryland,26994,30431,30442,26696,20028,16988,20958,39624,38523,42137,42378,41130,39568,40585,32004,25223,32412,29956,28987,26576,25108,25966,30863,29757,30358,29059,29293,29914,27382,30180,23262,18582,13018,11123,11931,13481,15217,17918,16332,17057,17814
Massachusetts,18201,21978,21486,21363,16480,16669,15435,22836,29288,39196,45215,40419,30482,21283,14290,12672,16411,17460,18115,16428,17261,17186,19254,18967,18000,17034,17465,20257,22477,24549,19580,15358,9883,7941,9075,7725,11111,14569,14467,17424,20985
Michigan,45895,58684,61074,49209,28976,18767,14176,21423,27749,37592,47230,46593,44907,45687,38871,33806,37026,39755,46475,47226,52355,49237,54474,54257,52489,50139,49968,53913,54721,45328,29191,17767,10911,6884,9075,9341,11692,15757,15836,18226,20977
Minnesota,26973,38087,37823,29313,21287,17256,18820,24810,26698,28611,33215,33376,28380,25127,23473,21117,26360,27265,25629,25494,27043,24900,30443,33341,32814,34151,38977,42046,41843,36509,26352,17930,11551,9425,9840,8890,16095,17313,17010,19545,22458
Mississippi,6942,8231,10748,8860,9357,5459,6207,9620,11524,8757,8289,6632,7396,6643,5923,5160,6321,8116,10933,10753,10367,10079,12879,12871,11270,9908,11276,12010,14532,13396,16618,16832,11428,6995,5259,5273,6039,6799,6955,6845,6737
Missouri,22749,28081,29065,19384,13621,9879,11544,18687,24817,27236,33208,29085,23473,17970,15284,16118,20078,21702,26374,24282,26298,25156,25657,26840,24321,24739,28255,29309,32791,33114,29172,21525,13273,10056,9699,9242,12297,13708,16314,18344,20627
Montana,4684,5627,4817,3120,2314,1876,2022,3001,2837,2034,1153,792,789,706,1191,1504,2084,2872,3025,3064,2678,2472,2561,2566,2572,2604,3574,3767,4975,4803,4542,4153,2376,1686,2022,1914,2736,4854,3889,4826,5989
Nebraska,10528,11322,10937,8735,6666,3783,3614,5465,5786,5001,6236,4902,5739,6040,6750,6235,6745,7751,7877,8164,10091,9880,9560,8696,9105,8198,9278,10339,10920,9929,8230,7604,6346,5150,5401,5203,6116,7543,7690,8096,8523
Nevada,13606,20396,25620,19038,11752,10267,8138,15982,13749,14004,15655,16345,30769,29253,25096,20976,17274,23303,31071,32804,37242,34811,36999,32643,32285,36125,35615,43366,44556,47728,39445,27209,14881,6764,6443,6163,9071,11174,13016,14083,15237
New Hampshire,5995,6702,7162,6769,5278,4368,4508,7727,11051,17769,18015,14564,11692,7260,4126,3488,4012,4191,4667,4423,4926,5404,5771,6326,6680,6624,8708,8641,8653,7586,5677,4561,3234,2287,2670,2346,2296,2788,3405,3763,4159
New Jersey,30750,34665,38163,34551,22270,20676,21297,35897,43824,55027,57352,51462,40909,30337,17524,14856,19072,25188,25388,21521,24173,28018,31345,31976,34585,28267,30441,32984,35936,38588,34323,25389,18363,12421,13535,12952,17939,24209,28155,30560,33170
New Mexico,8348,13667,15353,13097,8665,7952,8600,10742,16525,11790,11513,9268,6401,6658,5988,6057,7240,8874,11545,11009,10180,10265,10312,9716,8869,9989,12066,13759,12555,14180,13573,9206,6070,4642,4533,4067,4672,5161,4799,4599,4407
New York,30476,39645,43132,33835,24491,26234,24980,37908,44729,61927,60198,62186,54719,48735,34950,28580,29851,28604,31135,28060,34895,32881,38420,42592,44105,45542,49149,49708,53497,61949,54382,54059,51637,18344,19568,22575,24872,32581,36280,74611,153440
North Carolina,24744,32631,42812,41442,35509,34113,33088,53945,62687,70727,62995,54270,50322,48351,40777,39034,48158,53281,62859,60923,66997,73015,80514,84754,78376,82030,79824,79226,93077,97910,99979,85777,54652,33800,33889,32804,48692,51290,49913,54757,60071
North Dakota,6047,6485,5987,4833,3111,2155,2759,4364,3185,2641,1702,1970,1815,2210,1512,2106,2570,2940,3379,3185,2324,3222,2974,2577,2128,2687,3265,3721,4033,4038,3529,3360,2833,3195,3833,6201,10340,10532,12646,6256,3095
Ohio,48660,60844,59935,47992,31227,21820,16600,26567,29641,33024,44460,45153,45105,41228,38491,35810,42610,44235,47152,44812,49280,46487,48034,55880,49745,49931,51246,53041,51695,47727,34422,27095,17666,13343,13710,13762,16905,19903,19965,20047,20129
Oklahoma,15705,21256,21166,18814,17688,14972,28741,40077,22926,10670,8984,6247,5046,5622,5284,5918,7678,8673,9507,10066,10640,11201,14389,14182,11148,12352,12979,14968,17068,18362,15840,14730,10502,8753,8140,8782,11930,13583,14238,11545,9361
Oregon,29491,39128,38556,28348,19253,12887,7458,8593,7994,11297,10662,12218,14049,23089,22858,16384,16994,20529,24067,26201,27814,26999,25854,23249,19877,21322,22186,25015,27309,31024,26623,21101,11676,7039,6868,7663,10608,14843,16649,17510,18416
Pennsylvania,42111,50298,53985,42811,30037,24345,22201,33208,39415,43566,53442,54803,53833,45483,37204,34608,38282,40126,40210,36250,37895,39877,41616,42662,41076,41403,45114,47356,49665,44525,39128,33665,24577,18275,19740,14967,18796,21650,25108,22854,20802
Rhode Island,4572,5301,5446,5304,2909,3139,2602,3765,4208,5408,7274,7201,6065,3865,3042,2377,2592,2579,2539,2331,2462,2672,2642,3414,2596,2407,2848,2286,2532,2836,2370,1938,1058,961,934,700,731,928,952,998,1046
South Carolina,18051,22139,27022,26819,22333,18915,18010,29769,35891,32815,26840,23520,23102,21204,21251,18712,20221,21060,24586,23959,29403,30072,33576,36161,32812,30133,34104,38191,43230,54157,50776,40631,25918,15529,14021,15542,18708,24725,27551,31030,34948
South Dakota,4740,5927,5287,3912,3100,1490,1220,2489,3221,2544,1981,1874,1922,2075,2830,2507,3159,3729,4563,3832,3648,3174,3456,3672,4196,4455,4816,4986,5839,5685,5304,5112,3884,3691,2946,2813,4178,5482,4738,4482,4240
Tennessee,18906,26262,28611,23340,19389,11675,14799,26553,36764,38126,34356,29919,27803,24244,20194,19265,23319,26984,31874,35096,40522,34054,34126,37034,32203,32370,34273,37530,44791,46615,46003,37359,22389,15005,16475,14977,20147,23816,28263,32219,36729
Texas,97111,136212,169743,150031,127546,135759,201163,276224,195426,143114,96737,50455,40479,41287,47103,51866,64235,77754,102580,105102,118823,125974,156729,146564,141231,150342,165027,177194,188842,210611,216642,176992,129523,84440,88461,97450,135514,147460,170132,175443,180920
Utah,18141,22191,21181,16596,10463,8715,7537,14667,19698,16525,13827,7660,6269,5993,7324,8945,12789,17311,18591,20898,23481,19263,20862,20455,17638,18887,19327,22525,24267,27799,25873,20292,10905,9982,9171,9983,13007,15818,17518,18297,19111
Vermont,2201,2947,3566,3170,2918,2574,2210,2881,3900,4161,4478,4610,4810,3642,2370,2013,2255,2282,2376,2269,2070,1831,2198,2600,2506,2747,3072,2843,3588,2917,2626,2056,1444,1367,1319,1299,1301,1499,1547,1998,2580
Virginia,39002,54946,51970,44541,37285,29677,29878,53773,60209,64120,73511,66650,66487,56877,42116,33706,40205,44963,46830,43129,45919,45523,50204,53151,48402,52860,59445,55936,63220,61518,47704,38362,27577,21452,20992,23297,27278,31944,28693,28469,28247
Washington,47462,61559,61557,51566,33043,24384,17559,27248,30391,35474,36434,38341,45055,48210,48447,33012,39682,41342,44034,38160,39597,41089,45727,42752,39021,38345,40200,42825,50089,52988,50033,47397,28919,17011,20691,20864,28118,32962,33905,40374,48077
West Virginia,2647,3519,4352,3839,3326,2377,1824,1834,2099,1477,1918,1859,1784,1689,1766,1954,2275,2576,3873,3691,3616,4104,3834,4233,3763,3947,4890,5133,5716,6140,5645,4795,3481,2235,2395,2220,2718,2575,2686,2814,2948
Wisconsin,35263,41296,37651,26494,18220,14160,12280,16962,17771,20151,21824,24064,24122,26914,27282,25122,30995,32114,34619,32403,33296,31925,35436,35570,34154,37773,38208,40884,39992,35334,27329,21837,15509,10780,10864,9939,12041,13869,14741,16793,19131
Wyoming,4125,4373,5137,5199,3845,4074,2937,2816,1649,1167,876,577,707,555,692,631,999,1193,2020,1709,2192,1669,1867,1900,1582,1907,2045,2814,3317,3997,3537,4555,2669,2294,2298,2114,2110,2300,1937,1903,1870
