name,1974,1978,1982,1987,1992,1997,2002,2007,2012
Alabama,56678,50780,48448,43318,37905,41384,45126,48753,43223
Alaska,291,383,570,574,512,548,609,686,762
Arizona,5803,6298,7334,7669,6773,6135,7294,15637,20005
Arkansas,50959,51751,50525,48242,43937,45142,47483,49346,45071
California,67674,73194,82463,83217,77669,74126,79631,81033,77857
Colorado,25501,26907,27111,27284,27152,28268,31369,37054,36180
Connecticut,3421,3519,3754,3580,3427,3687,4191,4916,5977
Delaware,3400,3398,3338,2966,2633,2460,2391,2546,2451
District of Columbia,0,0,0,0,0,0,0,0,0
Florida,32466,36109,36352,36556,35204,34799,44081,47463,47740
Georgia,54911,51405,49630,43552,40759,40334,49311,47846,42257
Hawaii,3020,4310,4595,4870,5336,5473,5398,7521,7000
Idaho,23680,24249,24714,24142,22124,22314,25017,25349,24816
Illinois,111049,104690,98483,88786,77610,73051,73027,76860,75087
Indiana,87915,82483,77180,70506,62778,57916,60296,60938,58695
Iowa,126104,121339,115413,105180,96543,90792,90655,92856,88637
Kansas,79188,74171,73315,68579,63278,61593,64414,65531,61773
Kentucky,102053,102263,101642,92453,90281,82273,86541,85260,77064
Louisiana,33240,31370,31628,27350,25652,23823,27413,30106,28093
Maine,6436,6775,7003,6269,5776,5810,7196,8136,8173
Maryland,15163,15540,16183,14776,13037,12084,12198,12834,12256
Massachusetts,4497,4946,5401,6216,5258,5574,6075,7691,7755
Michigan,64094,60426,58661,51172,46562,46027,53315,56014,52194
Minnesota,98537,98671,94382,85079,75079,73367,80839,80992,74542
Mississippi,53620,44104,42415,34074,31998,31318,42186,41959,38076
Missouri,115711,114963,112447,106105,98082,98860,106797,107825,99171
Montana,23324,23565,23570,24568,22821,24279,27870,29524,28008
Nebraska,67597,63768,60243,60502,52923,51454,49355,47712,49969
Nevada,2076,2399,2719,3027,2890,2829,2989,3131,4137
New Hampshire,2412,2508,2757,2515,2445,2937,3363,4166,4391
New Jersey,7409,7984,8277,9032,9079,9101,9924,10327,9071
New Mexico,11282,12311,13484,14249,14279,14094,15170,20930,24721
New York,43682,43075,42207,37743,32306,31757,37255,36352,35537
North Carolina,91280,81706,72792,59284,51854,49406,53930,52913,50218
North Dakota,42710,40357,36431,35289,31123,30504,30619,31970,30961
Ohio,92158,89131,86934,79277,70711,68591,77797,75861,75462
Oklahoma,69719,72237,72523,70228,66937,74214,83300,86565,80245
Oregon,26753,28503,34087,32014,31892,34030,40033,38553,35439
Pennsylvania,53171,56202,55535,51549,44870,45457,58105,63163,59309
Rhode Island,597,674,728,701,649,735,858,1219,1243
South Carolina,29275,26706,24929,20517,20242,20189,24541,25867,25266
South Dakota,42825,38741,37148,36376,34057,31284,31736,31169,31989
Tennessee,93659,86910,90565,79711,75076,76818,87595,79280,68050
Texas,174068,175395,185020,188788,180644,194301,228926,247437,248809
Utah,12184,12764,13984,14066,13520,14181,15282,16700,18027
Vermont,5906,5852,6315,5877,5436,5828,6571,6984,7338
Virginia,52699,49936,51859,44799,42222,41095,47606,47383,46030
Washington,29410,30987,36080,33559,30264,29011,35939,39284,37249
West Virginia,16909,17475,18742,17237,17020,17772,20812,23618,21489
Wisconsin,89479,86505,82199,75131,67959,65602,77131,78463,69754
Wyoming,8018,8040,8861,9205,8716,9232,9422,11069,11736
