name,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,8850,9498,10376,11295,12323,13390,14181,14949,15774,16658,17337,17954,18656,19239,20141,20965,21903,22393,23252,23952,24684,25562,26446,27497,28494,29500,30526,31639,32790,34047,35567,36869,38138,38772,39648,40497,41329,41599,42662,43641,44169,45310,46662
Alaska,21093,19720,19000,19479,21671,24224,26139,27124,27377,27347,27154,26731,26960,28554,28935,29929,30903,31451,31921,32162,32866,33746,34552,34954,36027,37429,38568,39528,40825,42499,44102,46474,48527,50026,51073,52383,53670,54540,56069,57397,56388,56687,58661
Arizona,9809,10424,11251,12398,13610,14931,15711,16374,17112,17745,18617,19371,20240,20741,21433,22332,23237,23708,24667,25527,26545,27849,29512,30765,32840,33793,34455,35510,37160,38742,40701,42296,43311,43597,44138,45412,46493,46838,47856,48834,49440,51151,52876
Arkansas,7930,8568,9358,10316,11197,12262,13038,13680,14407,14985,15642,16014,16565,17089,17944,18753,19755,20111,20824,21420,22144,23096,24300,25242,26288,27294,28150,29210,30618,31698,32893,34569,35310,36041,36689,37820,38940,39629,40584,41449,42104,43451,44509
California,11087,11848,12673,13691,15013,16421,17670,18619,19605,20687,21696,22832,23920,24945,26237,27337,28676,29111,29729,30566,31674,33434,35098,37262,40869,41246,41300,42720,45000,46787,49108,51390,52524,52729,54441,56157,57479,57605,59423,62115,63407,66381,68948
Colorado,10118,10801,11707,12825,14228,15770,16993,17676,18354,19125,19815,20418,21096,21642,22632,23843,24858,25620,26318,27344,28570,29990,32151,34093,37059,37975,38207,39225,40700,42077,44013,45953,47167,47406,48439,49675,51271,51654,53451,54877,55388,57687,59689
Connecticut,10720,11398,12240,13331,14684,15964,17238,18321,19566,20775,22044,23791,25732,26984,28507,30034,31773,32447,33192,34429,35845,38145,40079,41835,44508,46052,45933,47449,49903,51807,54006,57105,57543,56837,58502,60205,61139,61406,62989,64587,64921,65694,66874
Delaware,10720,11538,12515,13404,14874,15982,17153,17858,18605,19366,19816,20822,22025,23296,24366,25552,26360,26715,27492,28561,30052,31403,33097,34359,35817,37587,38799,40211,41766,43836,45470,46519,46839,47083,47953,49684,50882,51204,52409,53329,53109,55223,56306
District of Columbia,14044,14929,16052,17082,18669,20409,22165,23370,24623,25819,26757,28057,30069,31619,33122,35119,36973,38245,40132,41715,43347,44975,47094,50114,51737,54583,56166,59111,62816,65841,69076,72412,75323,76566,79122,80485,81631,81981,84305,87237,88775,91769,95312
Florida,9223,9736,10404,11340,12490,13666,14664,15458,16236,17092,17899,18872,19775,20385,21446,22313,23404,23911,24444,25202,26074,27046,28538,29344,31039,32423,33383,34514,36169,37960,39660,40952,41852,42202,42897,43686,44593,45143,46247,47697,48511,49939,51501
Georgia,9131,9763,10521,11401,12497,13693,14620,15530,16437,17430,18364,19269,20176,20815,21900,23020,24178,24770,25423,26422,27619,29078,30837,32382,34316,35375,35979,37200,38493,39790,41217,42882,43592,43914,44934,46136,47376,47794,49118,50489,51570,53062,54625
Hawaii,10285,10857,11551,12309,13400,14465,15464,16109,16893,17561,18377,19235,20631,21768,23277,24301,25642,26401,26927,27269,27504,28359,29057,29916,30718,31576,33069,34258,35969,37360,38925,40662,42131,42900,43258,44025,45043,45440,46712,48364,49612,50903,52309
Idaho,8844,9625,10220,11157,12174,13284,13932,14413,15071,15901,16099,16476,17191,17805,18739,19514,20393,21056,22023,22826,23283,24130,24811,25990,27557,27827,28460,29144,30401,31540,33271,34366,34654,35097,35704,36297,37030,37817,38903,39621,40494,42039,43654
Illinois,11387,12188,13163,14218,15440,16650,17586,18336,19273,20151,21002,21905,23251,23976,25167,26057,27580,28229,29020,30014,31198,32889,34568,36184,37949,39135,39948,40905,42701,44165,46158,48288,49430,49042,50220,51736,53140,53662,55154,57037,57579,59160,61099
Indiana,10282,11111,12007,13028,13964,15220,15841,16467,17252,17928,18461,19156,19993,20542,21348,22190,23165,23837,24808,25485,26411,27500,28974,29928,30967,31848,32701,33638,35052,35856,37029,38017,38942,38870,39781,40849,41874,42370,43315,44685,45343,46940,48303
Iowa,9136,9847,10626,11568,12671,13761,14280,14716,15299,15777,16207,16902,17524,18027,18859,19509,20465,21068,21801,22372,23111,24203,25456,26416,27347,28242,29016,30142,31473,32356,33555,35142,36227,36389,37248,38268,39575,40185,41767,43059,43908,45200,46495
Kansas,9131,9760,10613,11579,12710,13884,14796,15382,16181,16905,17618,18072,18680,19176,19986,20737,21744,22279,22981,23681,24534,25617,26810,27977,29375,30265,31096,31947,33264,34447,36349,37834,39098,39078,39837,41004,42298,42734,43808,45019,45368,46308,47702
Kentucky,9211,9939,10756,11888,12879,14088,14952,15511,16294,16784,17165,17805,18352,18799,19718,20527,21547,21919,22548,23158,24048,25071,26192,27256,28246,29476,30378,31348,32640,33646,34864,36167,37223,37811,38551,39548,40372,40706,41810,43139,43896,44940,46040
Louisiana,9356,10159,11185,12343,13770,15327,16277,16548,17061,17544,17680,18065,18752,19254,20242,21172,21976,22403,23116,23767,24400,25547,26723,27109,27856,29187,30278,31268,32541,34295,37224,38938,41087,41229,42163,43120,44127,44852,46183,46845,46665,47666,49280
Maine,8492,8962,9639,10387,11390,12331,13247,13871,14643,15295,16126,17074,18051,18950,19916,20668,21486,21858,22432,23147,23825,24890,25898,26931,27798,29067,30171,31373,32721,33456,34872,36228,37422,37616,38379,39078,39760,40466,41634,42911,43725,44991,46457
Maryland,10581,11083,11763,12592,13771,14992,15970,16751,17766,18708,19682,20823,22121,23178,24445,25718,26737,27456,28376,29198,30317,31655,33214,34620,36612,38471,39852,41491,43535,45414,47375,49275,50640,51745,53096,54517,55466,55555,56924,58724,59677,61224,62839
Massachusetts,10157,10795,11480,12370,13527,14792,16012,17087,18274,19541,20781,22228,23871,24946,26311,27574,28952,29578,30451,31649,33158,34858,36883,39413,43275,43919,43910,45242,47847,49084,51432,54159,55727,55227,56779,58604,59551,60418,62682,65226,66010,68437,71073
Michigan,12137,13160,14170,15275,16291,17507,18146,18996,20195,21209,22034,22511,23637,24181,24824,25564,26822,27713,29038,30012,31004,32230,33917,35185,36423,36837,37585,38882,39841,40696,41615,42815,43686,43101,43866,45186,46228,46641,48008,49589,50537,52122,53407
Minnesota,9891,10527,11348,12402,13533,14806,15934,16783,17745,18504,19310,20082,21085,21814,22763,23592,24851,25310,26014,26863,28291,29699,31430,32766,34721,35881,36743,37872,39636,40085,41429,43607,45070,44556,45856,46948,48513,49258,50773,52626,53475,55361,57203
Mississippi,7624,8213,8991,9862,10715,11850,12654,13102,13644,14315,14835,15345,16003,16608,17359,18104,18832,19449,20329,21003,21677,22579,23682,24337,25211,26056,26889,27959,29047,30357,31763,32931,34280,34630,35268,35931,36935,37468,38002,38569,39129,39871,40859
Missouri,9865,10593,11345,12263,13410,14580,15510,16276,17084,17843,18456,19168,19928,20517,21374,22281,23162,23658,24516,25486,26378,27555,28768,29872,31353,32445,33279,34187,35364,36589,37829,39353,41168,40907,41577,42434,43692,44066,45350,46627,47128,48484,50105
Montana,9096,9808,10607,11562,12598,13755,14486,14905,15296,15642,15690,15961,16480,16806,17476,18269,18852,19543,20033,20350,20971,21835,22518,23141,24171,25094,26006,26927,27883,29266,30694,32295,33394,33911,34674,35826,37175,37741,39069,40152,40898,42204,43634
Nebraska,8954,9560,10295,11209,12188,13290,14149,14658,15360,15862,16452,16820,17483,18051,18997,19873,20758,21230,22116,23011,23873,25088,26126,27211,28461,29423,30506,31531,32742,33713,35246,36785,37947,38194,38780,39741,40923,41505,42842,44394,45213,46651,48053
Nevada,10767,11441,12303,13200,14486,15915,16800,17426,17937,18547,19070,19791,20992,21782,22884,23738,25314,26089,26386,27354,28437,29390,30995,32104,33244,34077,34990,36183,38099,39738,41064,43115,44105,43814,43643,44364,44969,45473,46214,47193,48392,49411,51173
New Hampshire,8647,9217,10025,10894,11888,12867,13961,14859,15557,16623,17775,19011,20382,21165,22175,23066,24185,24475,25129,26157,27200,28773,30375,31524,33999,34825,35484,36678,38614,40012,41849,43262,44307,44265,45190,46484,47579,48253,50393,51744,52788,54350,55900
New Jersey,11154,11850,12659,13669,14904,16174,17412,18386,19442,20617,21912,23430,25377,26424,28203,29493,31404,32178,32955,33997,35366,36881,38902,40500,42959,43612,44402,45676,47320,48763,50910,53066,54507,54356,55553,56735,57907,58811,59984,61795,62287,63614,65272
