name,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,163619,168377,179566,181324,184835,183681,188593,198391,205087,212674,221939,227866,237718,236476,248250,255987,258101,279246,272758,288546,301984,311547,316122,320967,334497,340191,351648,364917,386170,411611,434512,465184,465731,470279,469924,508579,501550,505271,518065,525193,532336,545299,559052,573152
Alaska,33890,36636,40195,41036,40526,35657,44661,51540,54240,56507,59350,69270,71260,69714,68501,72044,70952,72706,74660,75680,78990,80486,82679,80854,81711,80514,82112,81416,83627,85425,87885,92744,91849,91380,90896,91370,93605,94686,94714,93267,95375,98967,102043,105215
Arizona,127595,137499,147575,155207,167696,171276,187683,198469,221911,239452,255008,267009,295744,292427,294224,309076,299771,308015,337966,346628,376404,404640,430413,433675,462171,466834,483667,513700,551946,600176,626989,676958,680618,697235,691284,721616,718168,734971,760330,784289,811153,849839,879359,909904
Arkansas,130404,135844,139576,139976,142556,142954,150456,158462,165598,172188,173921,176090,178876,176863,167924,186978,186283,196243,190566,208099,214924,218018,218857,215615,222150,225236,229619,235335,245924,262031,268658,279929,276781,278986,279101,296350,294939,297208,303695,305869,309931,319556,328060,336790
California,1471765,1531944,1546891,1641761,1748041,1758620,1861924,2001715,2018400,2117302,2206614,2334793,2593227,2627778,2762912,3059739,2988672,3083882,3155778,3272117,3348609,3361737,3596480,3584523,3518588,3548524,3639853,3817612,4034679,4191115,4324809,4579114,4535381,4620522,4630840,4829655,4890021,5043380,5240978,5438507,5502975,5650166,5852975,6063064
Colorado,202889,218559,228688,240388,260188,274851,294524,313444,337117,349393,355752,345053,384535,373899,372197,397901,389656,408960,440848,450820,479557,507412,530120,531685,556654,563662,580257,602764,630707,660701,681059,736080,743999,764853,764482,787483,793794,816618,840671,870328,907289,947172,978790,1011463
Connecticut,167230,175239,181993,186448,193122,202327,211479,213004,221471,235872,251347,254623,281810,280270,292267,289925,308062,321127,292639,311775,321921,316255,323421,333222,357483,367840,376121,392552,417755,436203,449762,478323,486998,499503,495731,515317,513145,523938,530438,542702,551187,554781,571751,589240
Delaware,25727,26036,27329,27762,27752,29087,31204,32384,33480,37057,40311,39502,43433,44421,46879,47619,47355,47882,44877,52318,54731,55730,55932,58806,63839,64549,67082,70768,75778,80901,84892,91775,92234,95066,94412,99124,99260,101521,103873,107790,112595,117263,121316,125509
District of Columbia,39291,40884,41965,41940,40500,43209,44997,44385,44904,47005,50738,43639,46681,46219,45697,45356,40975,41654,36236,44319,46884,48281,46202,46552,51068,52815,53889,55083,58653,61416,64216,70102,73022,76207,77748,83929,85166,89585,93363,97266,103161,109248,113753,118444
Florida,538395,580731,620779,647773,691370,716758,776233,828311,866163,938424,999746,835369,914052,919540,961119,994978,976391,995947,1013743,1085636,1148057,1197275,1298519,1308359,1391619,1423530,1501039,1581531,1717404,1868604,1967766,2115282,2129837,2204706,2246396,2396643,2449687,2565393,2706729,2855800,2899118,3169715,3281052,3396300
Georgia,267748,278360,288755,295180,303499,306561,319644,328545,347489,375749,397818,389690,407629,410331,432435,455566,464154,502839,507157,538989,569518,594409,627384,634585,676657,699444,738526,797914,865671,947123,1019201,1097389,1098757,1134293,1146114,1222647,1226086,1261371,1316245,1358283,1383488,1464442,1511852,1560797
Hawaii,60291,56453,54058,63998,71737,67076,70417,70423,69048,71714,75984,83591,93807,94725,100887,111494,107540,111253,112842,117375,120537,121572,126449,124958,120012,119266,121889,126576,134728,141257,147579,160184,159419,159274,157470,160265,162678,168890,174126,180228,185011,186739,192811,199080
Idaho,61447,64989,67486,69453,72616,71757,75956,77044,77430,80169,81640,90493,96688,96258,101523,106705,108023,111510,124362,127741,134636,139213,143475,142112,148102,148032,153534,159942,169116,183646,194646,207992,207298,207884,203276,209496,208642,212813,217724,222818,227135,237558,244320,251274
Illinois,584730,594809,599917,607608,623105,632318,670303,672398,683380,704891,734554,750744,785159,776836,820248,830904,827084,818773,859602,893528,923162,940060,975111,984956,1034141,1043606,1069324,1117127,1173274,1227889,1263901,1346187,1353299,1395960,1398210,1462620,1450257,1475955,1507707,1548022,1562399,1567783,1625369,1685070
Indiana,274092,283906,287586,292328,302518,303389,315656,323274,333965,346050,353990,369307,366138,363531,386565,397208,396104,403481,417678,441382,454555,462376,471745,470425,490260,496238,499993,510392,528885,552163,568180,598128,594901,603007,597367,620147,614534,622688,635248,640795,645932,675049,695589,716754
Iowa,193240,189241,185277,198090,217269,218273,226793,229597,232000,232907,234042,227347,220768,221043,233569,244833,243547,247706,244416,266071,272924,277350,279646,279313,285983,288601,291080,296459,305909,314760,325372,339754,337975,345611,342446,352233,350786,354237,359416,361251,362367,365504,376063,386927
Kansas,166757,174044,177686,180908,187623,195304,206100,218391,226837,229384,224251,252326,234764,228501,226972,236527,228635,235485,233140,251991,256110,261499,265059,264619,273220,272451,276130,284223,291178,301000,308520,323921,329701,336279,340045,348330,355457,367787,372089,377286,384471,383648,393527,403660
Kentucky,187102,198066,205573,206701,214014,216237,229442,234171,238978,231462,242119,228298,230546,229549,239865,243596,245442,245019,242142,272552,282609,289633,291807,291569,301306,306424,314626,327291,342490,357433,370095,388724,385421,390793,390004,412812,411493,415250,421932,425602,432552,445801,458500,471561
Louisiana,183714,193168,201085,205544,211066,218445,236008,241749,250556,258924,253741,263299,264316,256666,263095,269526,262664,280842,269513,288787,301829,315083,318556,328324,344716,356800,373576,390610,399275,393870,443286,464719,490286,509549,529627,544629,560405,580194,593843,596662,618341,632437,650531,669143
Maine,72444,75096,78001,80052,84024,83733,87990,91017,96245,103863,109634,107466,115025,116847,123449,124895,129938,135139,138623,136284,140286,143489,150767,149461,153209,153213,157204,160434,168616,174915,178499,185398,181170,180257,176005,178030,177653,180860,184243,184544,187123,190874,195917,201093
Maryland,195058,195367,194727,198995,208194,215993,231681,240085,248686,272944,291120,333151,355489,363862,383358,390660,379236,383965,395495,422060,439746,443589,457160,467979,497925,511798,528347,559796,593881,626711,659190,703711,705446,715237,712068,736986,744550,780717,799554,825131,841392,861116,892804,925658
Massachusetts,296690,308702,317915,337795,357918,359860,379139,384739,405800,440583,471092,419437,458105,455000,478596,485201,539820,555332,572392,538227,553645,566527,583617,590490,612830,614907,629543,659252,707070,737334,746466,795087,802666,816967,808154,830468,826084,872097,900474,1014611,1028960,1057611,1096984,1137823
Michigan,390091,402079,405762,406354,422943,429559,443532,448613,473611,494790,515980,571404,585160,587260,619055,630321,622387,612654,646262,682275,707599,721980,722225,732593,786453,803916,829140,875971,922423,963097,992177,1045103,1044448,1055230,1054738,1092687,1087617,1098492,1112944,1129534,1128551,1154324,1186400,1219367
Minnesota,237577,235181,230224,248912,275866,276470,287799,296827,305791,316917,327819,351645,359911,360963,375227,393347,394348,398486,418638,438092,453790,454661,464457,470429,492812,505375,523155,542556,566522,587503,605912,635179,635901,640589,634990,656536,651685,658294,667572,677702,681418,691863,713787,736406
Mississippi,116081,119960,122912,122255,124602,127272,132042,138067,142888,146441,149135,145990,146952,145879,147374,155195,155209,163662,162224,170733,178867,184927,187241,191112,199168,204988,212058,220184,223508,234683,255249,273786,276878,283952,290360,310262,312671,321408,330941,334923,339448,348436,356673,365105
Missouri,297351,303500,301733,315590,332606,335284,350672,363497,374763,394130,409672,393040,387282,384061,398206,409516,396174,422345,426102,450720,464455,474332,488767,485117,503018,509053,521477,542057,568128,596652,614497,646368,640035,648973,642612,669204,661197,666377,672863,680439,687508,706247,727029,748423
Montana,59322,62635,64650,63475,64031,65583,68834,72371,77800,79566,79899,82150,84716,83591,85656,90065,90551,93855,106402,105079,111431,114302,114294,115161,117462,119650,120953,123246,127826,133960,138145,145308,145340,145213,145047,148080,149744,151572,155110,157703,160357,164118,168699,173408
Nebraska,110591,112939,115105,116687,117737,118596,123585,125463,122709,122491,127217,134280,136368,134918,141665,144860,141751,147506,166992,155896,160818,160239,165358,166611,171082,174116,176216,178923,184377,189341,195896,205867,206856,213368,211977,220192,220591,224334,227952,231445,234571,241171,248292,255623
Nevada,40706,44750,47796,49479,52423,52893,56751,59171,63343,65448,67846,80698,90004,92392,99147,105657,103464,112228,124135,131532,145395,162646,170220,173961,196613,200911,211580,227530,248297,271519,284986,310867,315056,324820,320899,337442,336025,349993,355528,369034,391851,409018,425480,442605
New Hampshire,53420,57190,59396,62350,68519,69043,74756,78056,84023,94080,102329,97550,107288,107245,113110,113417,121074,123116,127074,122742,124573,128934,136175,137209,142994,144247,149120,156939,165707,173394,176567,185187,183916,183752,179752,181015,179864,183822,184940,190204,192937,197568,203184,208960
New Jersey,338094,348638,360765,368813,384715,390845,419857,440694,454104,492288,514106,514311,551766,549714,580661,571303,603310,589489,573612,598479,626144,615027,615225,634583,681765,708050,731955,774472,832745,882651,915243,978144,1001602,1032467,1044207,1106920,1108340,1146791,1188400,1232751,1259975,1281456,1328853,1378003
New Mexico,61800,65011,66789,68142,71494,75059,80294,84208,86258,89473,91501,103325,125402,125007,117814,133671,129268,133232,136874,149387,155599,159580,162924,161709,168525,166557,168545,174501,182418,190368,196858,208568,208111,208372,204371,207372,206629,207423,209577,210443,209887,213349,218757,224302
New York,867887,899702,912345,931530,960405,949155,983406,997298,1008807,1074982,1135559,1028370,1139513,1142471,1192524,1198963,1281451,1290054,1283158,1311534,1370520,1391589,1390923,1455373,1544826,1609248,1650627,1724600,1814609,1896334,1968886,2111288,2165611,2227012,2264504,2453784,2468282,2535678,2613728,2681212,2716693,2756630,2859981,2967207
North Carolina,287195,300650,313246,320062,329083,330917,344053,356292,374993,400465,426422,427024,449810,460705,492593,506844,512100,537114,539286,582365,610619,637851,658988,663981,702182,720356,744912,780551,830760,889927,935491,1005852,1000693,1015968,1010676,1074102,1072573,1096493,1137769,1159463,1199939,1238151,1275105,1313162
North Dakota,39436,42476,44220,43730,44014,45705,47817,49703,51700,51869,52184,54257,53849,54537,54092,58241,56378,57928,66100,64380,65686,64689,65658,63706,66391,68776,68381,69433,71226,73800,76316,80583,81932,83570,84850,89904,93364,97198,101113,101567,102389,104131,107238,110438
Ohio,523576,542732,549997,548500,569061,576091,593384,602969,622524,634297,651685,687620,701519,705349,716274,765147,746829,763524,797881,823466,852640,864651,865678,872236,924332,935674,950972,985852,1027831,1068013,1098477,1152117,1158812,1187797,1186763,1231691,1221571,1243474,1260456,1270732,1277770,1311566,1351941,1393559
Oklahoma,195242,207032,216334,224819,235598,259338,280289,296327,304881,309236,291345,315993,308161,295991,297994,303183,292330,296264,304226,321664,331645,341479,335572,333218,342160,344829,349765,367197,376831,391983,403724,425566,435476,441373,448194,459249,481454,495240,500006,509389,525062,528672,540540,552674
Oregon,179843,187344,189283,197319,212809,208305,213996,229398,235634,240400,247999,254950,264420,262982,274330,285545,286493,289187,312487,320691,337955,354419,357459,357718,367690,366213,373534,380762,401303,422239,436078,465815,463955,467449,463497,471357,469538,476338,490076,504704,513421,537389,554244,571628
