state,statePO,numOfSeat,popTotal,medHHI,medAge,minWage,whitePerc,hispPerc,blackPerc,asianPerc,nativePerc,over18Perc
Alabama,AL,7,4903185,49936,38.9,7.25,65.5,4.1,26.7,1.3,0.5,77.8
Alaska,AK,1,731545,68734,34,10.19,60.6,7,2.9,6.6,14.2,75.4
Arizona,AZ,9,7278717,62283,37.4,12,54.7,31.4,4.1,3.2,3.9,77.5
Arkansas,AR,4,3017804,49781,37.9,10,72.3,7.4,15.2,1.6,0.6,76.8
California,CA,53,39512223,70489,36.3,13,37,39.1,5.5,14.4,0.4,77.5
Colorado,CO,7,5758736,73034,36.6,12,68.2,21.5,3.9,3.1,0.6,78.1
Connecticut,CT,5,3565287,72812,40.8,11,66.7,16.1,9.9,4.5,0.2,79.6
Delaware,DE,1,973764,65012,40.2,9.25,62.2,9.3,21.5,4,0.2,79.1
District of Columbia,DC,0,705749,85750,33.9,15,36.5,11,45.3,4,0.2,81.8
Florida,FL,27,21477737,54644,41.9,8.56,53.8,25.6,15.4,2.8,0.2,80.3
Georgia,GA,14,10617423,55821,36.5,5.15,52.6,9.6,31.1,3.9,0.2,76.4
Hawaii,HI,2,1415872,80108,38.9,10.1,21.8,10.5,1.6,37.3,0.1,78.8
Idaho,ID,2,1787065,58728,36.1,7.25,82,12.4,0.6,1.3,1.1,74.9
Illinois,IL,18,12671821,70145,37.9,10,61.2,17.2,14,5.4,0.1,77.8
Indiana,IN,9,6732219,59892,37.6,7.25,79.2,6.9,9.2,2.2,0.1,76.7
Iowa,IA,4,3155070,68718,38.1,7.25,85.9,5.9,3.3,2.6,0.2,77
Kansas,KS,4,2913314,63938,36.5,7.25,75.9,11.9,5.5,2.9,0.6,76
Kentucky,KY,6,4467673,54555,38.7,7.25,84.6,3.5,8,1.4,0.2,77.6
Louisiana,LA,6,4648794,49973,36.6,7.25,58.5,5.2,32.1,1.8,0.5,76.6
Maine,ME,2,1344212,58663,44.6,12,93.4,1.6,1.2,1.1,0.6,81.5
Maryland,MD,8,6045680,86223,38.6,11,50.7,10.1,29.4,6.4,0.2,77.9
Massachusetts,MA,9,6892503,86345,39.4,12.75,71.5,11.8,7,6.6,0.1,80.4
Michigan,MI,14,9986857,60449,39.7,9.65,75,5.1,13.6,3.1,0.5,78.5
Minnesota,MN,8,5639632,71817,37.9,10,79.9,5.3,6.4,4.9,1,76.9
Mississippi,MS,4,2976149,42781,37.2,7.25,56.6,2.9,37.9,0.9,0.4,76.5
Missouri,MO,8,6137428,61726,38.5,9.45,79.4,4.2,11.4,2,0.3,77.7
Montana,MT,1,1068778,57679,39.8,8.65,86.3,3.7,0.4,0.7,5.9,78.6
Nebraska,NE,3,1934408,67575,36.4,9,79,10.9,4.5,2.4,0.7,75.4
Nevada,NV,4,3080156,61864,37.9,8,48.8,28.8,8.9,8.3,0.9,77.5
New Hampshire,NH,2,1359711,81346,42.7,7.25,90.3,3.8,1.3,2.7,0.1,81.2
New Jersey,NJ,12,8882190,74176,39.8,11,54.8,20.4,12.8,9.8,0.1,78.2
New Mexico,NM,3,2096829,48283,37.5,9,37.4,48.8,1.8,1.3,8.8,77.3
New York,NY,27,19453561,67274,38.7,11.8,55.1,19.2,14.3,8.7,0.2,79.3
North Carolina,NC,13,10488084,53369,38.6,7.25,63,9.4,21.2,2.9,1.1,78.1
North Dakota,ND,1,762062,66505,35.1,7.25,84.4,3.5,3,1.7,5.4,76.4
Ohio,OH,16,11689100,61633,39.3,8.7,78.9,3.7,12.2,2.2,0.2,77.9
Oklahoma,OK,5,3956971,54434,36.4,7.25,65.6,10.6,7.2,2.1,7.3,75.9
Oregon,OR,5,4217737,69165,39.2,11.5,75.6,13.1,1.8,4.3,0.9,79.5
Pennsylvania,PA,18,12801989,64524,40.7,7.25,76.4,7.3,10.7,3.5,0.1,79.4
Rhode Island,RI,2,1059361,62266,39.9,10.5,72.1,15.4,5.4,3.6,0.3,80.7
South Carolina,SC,7,5148714,57444,39.2,7.25,63.6,5.7,26.8,1.5,0.2,78.4
South Dakota,SD,1,884659,59463,36.8,9.3,82.3,3.6,1.9,1.2,8.6,75.5
Tennessee,TN,9,6829174,56060,38.7,7.25,73.9,5.4,16.6,1.8,0.2,77.9
Texas,TX,36,28995881,59785,34.4,7.25,41.9,39.4,11.8,4.8,0.3,74.5
Utah,UT,4,3205958,77067,30.7,7.25,78.3,14,1.2,2.4,1,71
Vermont,VT,1,623989,70066,42.9,10.96,92.8,1.9,1.2,1.8,0.3,81.7
Virginia,VA,11,8535519,77151,38.1,7.25,61.7,9.3,18.8,6.4,0.2,78.2
Washington,WA,10,7614893,79726,37.6,13.5,68.6,12.7,3.5,8.5,1,78.2
West Virginia,WV,3,1792147,50573,42.4,8.75,92,1.3,3.9,0.8,0.1,79.9
Wisconsin,WI,8,5822434,62629,39.3,7.25,81.2,6.9,6.3,2.7,0.8,78.2
Wyoming,WY,1,578759,62539,37.3,5.15,84,10,0.9,0.8,2.1,76.9
