state,medHHI
Alabama,49936
Alaska,68734
Arizona,62283
Arkansas,49781
California,70489
Colorado,73034
Connecticut,72812
D.C.,85750
Delaware,65012
Florida,54644
Georgia,55821
Hawaii,80108
Idaho,58728
Illinois,70145
Indiana,59892
Iowa,68718
Kansas,63938
Kentucky,54555
Louisiana,49973
Maine,58663
Maryland,86223
Massachusetts,86345
Michigan,60449
Minnesota,71817
Mississippi,42781
Missouri,61726
Montana,57679
Nebraska,67575
Nevada,61864
New Hampshire,81346
New Jersey,74176
New Mexico,48283
New York,67274
North Carolina,53369
North Dakota,66505
Ohio,61633
Oklahoma,54434
Oregon,69165
Pennsylvania,64524
Rhode Island,62266
South Carolina,57444
South Dakota,59463
Tennessee,56060
Texas,59785
United States,63179
Utah,77067
Vermont,70066
Virginia,77151
Washington,79726
West Virginia,50573
Wisconsin,62629
Wyoming,62539
