state,minWage2020
Alabama,7.25 
Alaska, 10.19 
Arizona, 12.00 
Arkansas, 10.00 
California ,13.00 
Colorado, 12.00 
Connecticut,11.00 
Delaware, 9.25 
Washington D.C., 15.00 
Florida, 8.56 
Georgia,5.15 
Hawaii, 10.10 
Idaho, 7.25 
Illinois, 10.00 
Indiana, 7.25 
Iowa, 7.25 
Kansas, 7.25 
Kentucky, 7.25 
Louisiana,7.25 
Maine, 12.00 
Maryland, 11.00 
Massachusetts, 12.75 
Michigan, 9.65 
Minnesota,10.00 
Mississippi,7.25 
Missouri, 9.45 
Montana, 8.65 
Nebraska, 9.00 
Nevada,8.00 
New Hampshire,7.25 
New Jersey, 11.00 
New Mexico, 9.00 
New York,11.80 
North Carolina, 7.25 
North Dakota, 7.25 
Ohio, 8.70 
Oklahoma, 7.25 
Oregon,11.50 
Pennsylvania, 7.25 
Rhode Island, 10.50 
South Carolina,7.25 
South Dakota, 9.30 
Tennessee,7.25 
Texas, 7.25 
Utah, 7.25 
Vermont, 10.96 
Virginia, 7.25 
Washington, 13.50 
West Virginia, 8.75 
Wisconsin, 7.25 
Wyoming,5.15 
